n_items,dim,method,build_wall_time_sec,index_size_mb,rss_mb_after,rss_mb_delta,calibration_target,target_reached,param_name,calibrated_param_value,achieved_recall_vs_exact,latency_p50_ms,latency_p95_ms,quality_measured,quality_metric,quality_notes,seed,config_hash,scale_stress_fingerprint
10000,128,flat,0.25,4.92,93.7,20.7,0.95,True,,,1.0,0.15285000063158805,0.29641999990417395,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
10000,128,hnsw,0.954,6.9,95.4,0.9,0.95,True,ef,32.0,0.9843,0.02429999949526973,0.04323499897509467,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
10000,128,ivfflat,0.315,5.05,95.1,-0.4,0.95,True,nprobe,2.0,0.9735,0.012000000424450263,0.01750499868649058,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
10000,128,ivfpq,18.197,0.66,92.8,-2.3,0.95,False,nprobe,8.0,0.8947,0.07590000041091116,0.19530000099621248,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
50000,128,flat,0.294,24.61,153.8,21.4,0.95,True,,,1.0,1.9819500002995483,3.501970000797883,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
50000,128,hnsw,7.537,34.54,163.8,10.0,0.95,True,ef,64.0,0.9919,0.11995000022579916,0.21620500010612886,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
50000,128,ivfflat,0.576,25.1,155.4,-8.5,0.95,True,nprobe,4.0,0.97434,0.0840499997138977,0.15529499951298933,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
50000,128,ivfpq,28.805,2.4,139.4,-15.9,0.95,False,nprobe,8.0,0.73892,0.10469999961060239,0.24171999966711155,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
100000,128,flat,0.313,49.21,227.5,38.4,0.95,True,,,1.0,3.590299999814306,5.313659999228548,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
100000,128,hnsw,26.086,69.07,247.4,19.9,0.95,True,ef,64.0,0.97862,0.15840000014577527,0.3744199992979703,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
100000,128,ivfflat,0.854,50.13,229.7,-17.7,0.95,True,nprobe,8.0,0.99968,0.1298000006499933,0.2922250013398298,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
100000,128,ivfpq,39.485,4.54,193.4,-36.3,0.95,False,nprobe,16.0,0.69718,0.16985000002023298,0.38198000120246434,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
500000,128,flat,0.705,246.05,813.1,229.0,0.95,True,,,1.0,15.27064999936556,19.27531500086843,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
500000,128,hnsw,319.418,345.32,912.8,99.5,0.95,True,ef,128.0,0.96166,0.46255000052042305,0.8124700002554165,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
500000,128,ivfflat,4.309,250.21,818.6,-94.2,0.95,True,nprobe,16.0,0.99998,0.41264999981649453,0.5714000001717068,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
500000,128,ivfpq,72.476,21.52,612.0,-206.6,0.95,False,nprobe,16.0,0.61598,0.16199999936361564,0.2058449991636735,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
1000000,128,flat,1.096,492.1,1545.6,445.3,0.95,True,,,1.0,25.305199999820616,26.929654999185008,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
1000000,128,hnsw,1041.272,690.62,1743.4,197.7,0.95,True,ef,256.0,0.97034,1.6710000008970383,2.2653349994470773,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
1000000,128,ivfflat,13.745,500.22,1554.9,-188.6,0.95,True,nprobe,16.0,0.99734,0.6701499987684656,1.0373349987276015,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
1000000,128,ivfpq,163.764,42.65,1130.7,-424.1,0.95,False,nprobe,32.0,0.58714,0.6302500005403999,1.2373500007015539,False,none,synthetic vectors carry no relevance signal; only index fidelity (achieved_recall_vs_exact) is reported,42,12cd3ac77c1da638,12cd3ac77c1da638
