dataset,backbone,embedding_backend,modality,method,dim,ndcg_at_10,recall_at_10,ann_recall_vs_exact_at_k_mean,long_tail_uplift,backend_available,status,error_message,seed,ann_ranking_stability
ml-1m,svd_bm25,svd_bm25,u2i,flat,128,0.04889590536514545,0.09524598310419083,1.0,-0.004756630931008331,True,ok,,42,1.0
ml-1m,svd_bm25,svd_bm25,u2i,hnsw,128,0.04889590536514545,0.09524598310419083,0.9993042902103693,-0.004756630931008331,True,ok,,42,1.0
ml-1m,svd_bm25,svd_bm25,u2i,ivfflat,128,0.04889969430895441,0.09524598310419083,0.9997680967367899,-0.004756630931008331,True,ok,,42,1.0
ml-1m,svd_bm25,svd_bm25,u2i,ivfpq,128,0.04598580485028114,0.09110485340400862,0.7171442769587543,-0.00447503411139594,True,ok,,42,1.0
ml-1m,svd_bm25,svd_bm25,u2i,flatpq,128,0.044180937775314864,0.09011098227596488,0.6168295511015406,-0.004557856705399584,True,ok,,42,1.0
ml-1m,svd_tfidf,svd_tfidf,u2i,flat,128,0.04219897561183735,0.08249130362762962,1.0,-0.005402647164236755,True,ok,,42,1.0
ml-1m,svd_tfidf,svd_tfidf,u2i,hnsw,128,0.04219897561183735,0.08249130362762962,0.9998012257743912,-0.005402647164236755,True,ok,,42,1.0
ml-1m,svd_tfidf,svd_tfidf,u2i,ivfflat,128,0.04220136668043463,0.08249130362762962,0.9999171774059964,-0.005402647164236755,True,ok,,42,1.0
ml-1m,svd_tfidf,svd_tfidf,u2i,ivfpq,128,0.04089133554390398,0.08083485174755674,0.6961404671194302,-0.005369518126635297,True,ok,,42,1.0
ml-1m,svd_tfidf,svd_tfidf,u2i,flatpq,128,0.0361029545552379,0.07338081828722876,0.631522279277787,-0.005386082645436026,True,ok,,42,1.0
ml-1m,svd_none,svd_none,u2i,flat,128,0.036615329552949945,0.07553420573132351,1.0,-0.005468905239439671,True,ok,,42,1.0
ml-1m,svd_none,svd_none,u2i,hnsw,128,0.036615329552949945,0.07553420573132351,0.9995527579923803,-0.005468905239439671,True,ok,,42,1.0
ml-1m,svd_none,svd_none,u2i,ivfflat,128,0.036661665144086364,0.07569985091933079,0.989249627298327,-0.005452340720638942,True,ok,,42,1.0
ml-1m,svd_none,svd_none,u2i,ivfpq,128,0.035449771162974056,0.07089614046711944,0.556750041411297,-0.005435776201838213,True,ok,,42,1.0
ml-1m,svd_none,svd_none,u2i,flatpq,128,0.03314163671862193,0.06443597813483519,0.5613715421567004,-0.005468905239439671,True,ok,,42,1.0
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,flat,128,0.032852431131132905,0.06907404339903926,1.0,-0.005502034277041128,True,ok,,42,0.8947368421052632
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,hnsw,128,0.032852431131132905,0.06907404339903926,0.9999171774059964,-0.005502034277041128,True,ok,,42,0.8947368421052632
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,ivfflat,128,0.03290031332863463,0.06923968858704654,0.9977306609243001,-0.005502034277041128,True,ok,,42,0.8947368421052632
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,ivfpq,128,0.03202819097097606,0.06791452708298824,0.8574623157197283,-0.005502034277041128,True,ok,,42,0.8947368421052632
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,flatpq,128,0.03262457556061112,0.06675501076693723,0.7895146595991387,-0.005502034277041128,True,ok,,42,0.8947368421052632
