dataset,modality,method,measurement_backend,direct_energy_available,cpu_energy_joules,gpu_energy_joules,wall_time_sec,queries,energy_per_query_joules,cpu_utilization_mean,rss_mb,notes
ml-1m,u2i,flat,none,False,NA,NA,0.3154,5000,NA,10.7,95.5,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-1m,i2i,flat,none,False,NA,NA,0.218,3533,NA,19.9,94.8,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-1m,u2i,hnsw,none,False,NA,NA,0.416,5000,NA,92.3,96.6,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-1m,i2i,hnsw,none,False,NA,NA,0.2754,3533,NA,84.4,96.0,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-1m,u2i,ivfflat,none,False,NA,NA,0.1432,5000,NA,79.0,96.8,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-1m,i2i,ivfflat,none,False,NA,NA,0.0888,3533,NA,86.7,96.1,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-1m,u2i,ivfpq,none,False,NA,NA,0.2533,5000,NA,37.4,97.4,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-1m,i2i,ivfpq,none,False,NA,NA,0.1674,3533,NA,64.0,97.5,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-1m,u2i,flatpq,none,False,NA,NA,0.2557,5000,NA,50.4,96.4,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-1m,i2i,flatpq,none,False,NA,NA,0.1866,3533,NA,82.8,95.7,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-20m,u2i,flat,none,False,NA,NA,1.8003,5000,NA,13.2,114.3,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-20m,i2i,flat,none,False,NA,NA,1.8221,5000,NA,11.1,115.6,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-20m,u2i,hnsw,none,False,NA,NA,0.5688,5000,NA,88.7,120.3,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-20m,i2i,hnsw,none,False,NA,NA,0.5054,5000,NA,88.4,120.3,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-20m,u2i,ivfflat,none,False,NA,NA,0.3228,5000,NA,37.0,115.8,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-20m,i2i,ivfflat,none,False,NA,NA,0.2994,5000,NA,36.1,115.8,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-20m,u2i,ivfpq,none,False,NA,NA,0.3727,5000,NA,38.4,111.1,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-20m,i2i,ivfpq,none,False,NA,NA,0.3395,5000,NA,36.7,111.8,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
ml-20m,u2i,flatpq,none,False,NA,NA,0.924,5000,NA,22.2,107.2,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
ml-20m,i2i,flatpq,none,False,NA,NA,0.9073,5000,NA,22.8,107.2,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
goodbooks,u2i,flat,none,False,NA,NA,0.7309,5000,NA,11.8,102.8,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
goodbooks,i2i,flat,none,False,NA,NA,0.787,5000,NA,25.2,103.3,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
goodbooks,u2i,hnsw,none,False,NA,NA,0.4763,5000,NA,88.6,106.3,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
goodbooks,i2i,hnsw,none,False,NA,NA,0.3704,5000,NA,88.1,106.4,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
goodbooks,u2i,ivfflat,none,False,NA,NA,0.2275,5000,NA,62.4,104.4,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
goodbooks,i2i,ivfflat,none,False,NA,NA,0.1888,5000,NA,52.0,104.4,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
goodbooks,u2i,ivfpq,none,False,NA,NA,0.3638,5000,NA,44.3,104.0,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
goodbooks,i2i,ivfpq,none,False,NA,NA,0.3205,5000,NA,43.7,105.0,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
goodbooks,u2i,flatpq,none,False,NA,NA,0.4573,5000,NA,39.4,101.9,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only. | u2i queries are seeded mean-of-5-items history proxies.
goodbooks,i2i,flatpq,none,False,NA,NA,0.4413,5000,NA,31.5,101.9,Direct package-energy measurement unavailable on this platform; reporting timing and utilization only.
