dataset,weighting,dim,modality,method,coverage_at_k,gini_exposure,long_tail_exposure,long_tail_uplift
amazon-books,bm25,128,i2i,flat,0.169815371404036,0.8827567848970874,0.28222,0.2141022531853824
amazon-books,bm25,128,i2i,flatpq,0.1665162969927877,0.8867340351430233,0.2929,0.2247822531853824
amazon-books,bm25,128,i2i,hnsw,0.1694783983999217,0.8831028554114061,0.28266,0.2145422531853824
amazon-books,bm25,128,i2i,ivfflat,0.169195775880342,0.8834385716149159,0.28207,0.2139522531853824
amazon-books,bm25,128,i2i,ivfpq,0.1699702702849596,0.8827343112978351,0.28133,0.2132122531853824
amazon-books,bm25,128,u2i,flat,0.149838850813355,0.9043753685778108,0.23576,0.1676422531853824
amazon-books,bm25,128,u2i,flatpq,0.124065851047062,0.9306335312596812,0.27086,0.2027422531853824
amazon-books,bm25,128,u2i,hnsw,0.1490725089814175,0.9051258553407504,0.23776,0.1696422531853824
amazon-books,bm25,128,u2i,ivfflat,0.1494774200912001,0.9047573285106336,0.23611,0.1679922531853824
amazon-books,bm25,128,u2i,ivfpq,0.1444581528444326,0.9106386125408308,0.23318,0.1650622531853824
goodbooks,bm25,128,i2i,flat,0.9124,0.570770958,0.09636,0.0612522084794406
goodbooks,bm25,128,i2i,flatpq,0.9093,0.570735044,0.10287,0.0677622084794406
goodbooks,bm25,128,i2i,hnsw,0.9124,0.570772596,0.09633,0.0612222084794406
goodbooks,bm25,128,i2i,ivfflat,0.9116,0.570868106,0.09618,0.0610722084794406
goodbooks,bm25,128,i2i,ivfpq,0.9134,0.568900608,0.10111,0.0660022084794406
goodbooks,bm25,128,u2i,flat,0.6758,0.830726524,0.05765,0.0225422084794406
goodbooks,bm25,128,u2i,flatpq,0.6009,0.8700238020000001,0.08154,0.0464322084794406
goodbooks,bm25,128,u2i,hnsw,0.6752,0.8311247460000001,0.05748,0.0223722084794406
goodbooks,bm25,128,u2i,ivfflat,0.677,0.830396574,0.058,0.0228922084794406
goodbooks,bm25,128,u2i,ivfpq,0.6327,0.849267088,0.08874,0.0536322084794406
ml-1m,bm25,128,i2i,flat,0.7967732804981602,0.6778737545455458,0.016639045409347,0.0111369531386272
ml-1m,bm25,128,i2i,flatpq,0.8058307387489386,0.678148084526395,0.0202353331123632,0.0147332408416434
ml-1m,bm25,128,i2i,hnsw,0.7967732804981602,0.6778737545455458,0.016639045409347,0.0111369531386272
ml-1m,bm25,128,i2i,ivfflat,0.7964902349278233,0.6784629903140624,0.016639045409347,0.0111369531386272
ml-1m,bm25,128,i2i,ivfpq,0.8086611944523068,0.671458198803816,0.0190420947961551,0.0135400025254353
ml-1m,bm25,128,u2i,flat,0.4073025757146901,0.9463882418911008,0.0006629101756711,-0.0048391820950486
ml-1m,bm25,128,u2i,flatpq,0.3673931502971978,0.9605561315391664,0.000977792509115,-0.0045242997616047
ml-1m,bm25,128,u2i,hnsw,0.4073025757146901,0.9463918350781556,0.0006629101756711,-0.0048391820950486
ml-1m,bm25,128,u2i,ivfflat,0.4067364845740164,0.9464480126345088,0.0006629101756711,-0.0048391820950486
ml-1m,bm25,128,u2i,ivfpq,0.4152278516841211,0.9430938804084148,0.00074577394763,-0.0047563183230897
ml-20m,bm25,128,i2i,flat,0.3467488201363398,0.8873155488550953,0.00284,0.0022445854880611
ml-20m,bm25,128,i2i,flatpq,0.3465303268659325,0.8887005261317952,0.00329,0.0026945854880611
ml-20m,bm25,128,i2i,hnsw,0.346574025520014,0.8873846495367942,0.00302,0.0024245854880611
ml-20m,bm25,128,i2i,ivfflat,0.3462244362873623,0.8878879391714735,0.00297,0.0023745854880611
ml-20m,bm25,128,i2i,ivfpq,0.3473169026393987,0.8881920075161686,0.00348,0.0028845854880611
ml-20m,bm25,128,u2i,flat,0.2030239468624366,0.966288745848628,0.0,-0.0005954145119388
ml-20m,bm25,128,u2i,flatpq,0.1676280370564586,0.9785631130921169,0.00015,-0.0004454145119388
ml-20m,bm25,128,u2i,hnsw,0.203155042824681,0.9662436960321622,0.0,-0.0005954145119388
ml-20m,bm25,128,u2i,ivfflat,0.2038105226359028,0.9663773929382976,0.0,-0.0005954145119388
ml-20m,bm25,128,u2i,ivfpq,0.1776350288411116,0.9745487808075513,8e-05,-0.0005154145119388
