dataset,modality,method,weighting,embedding_backend,ndcg_at_10,recall_at_100,ann_recall_vs_flat_at_100,latency_p95_ms,qps,rss_mb,long_tail_uplift,delta_ndcg_vs_flat,effect_size_label,deployment_score,deployment_rank,recommended_use_case,recommendation_reason
goodbooks,i2i,ivfflat,bm25,svd_bm25,0.1078298090733329,0.284,0.938267,0.0339049999524831,47393.36486981784,71.08984375,0.0603506177457097,-0.0004197410855978,negligible,0.8279,1,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
goodbooks,i2i,flatpq,bm25,svd_bm25,0.1045116267956679,0.2841,0.911372,0.1151049999066344,12121.212110056991,66.76953125,0.0676906177457097,-0.0037379233632629,negligible,0.8261,2,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false)
goodbooks,i2i,hnsw,bm25,svd_bm25,0.1082495501589308,0.289,0.978464,0.0772099999664987,22573.363424420662,75.4140625,0.0601306177457097,0.0,negligible,0.6329,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
goodbooks,i2i,ivfpq,bm25,svd_bm25,0.1048849263544908,0.2864,0.933584,0.2791050000496398,5405.40540576575,70.03515625,0.0660006177457097,-0.00336462380444,negligible,0.621,4,memory_constrained_online_serving,PQ compression trades recall ceiling for RAM; fits the latency budget (0.28 <= 20.0 ms p95)
goodbooks,i2i,flat,bm25,svd_bm25,0.1082495501589308,0.2891,1.0,0.23246500006735,6872.852232233833,71.02734375,0.0601306177457097,0.0,exact_reference,0.5521,5,exact_reference,exact search; ground-truth quality reference
goodbooks,u2i,ivfflat,bm25,svd_bm25,0.0146630493106087,0.1637,0.7710739999999999,0.0339049999524831,47393.36486981784,71.08984375,0.0240806177457097,-0.0006510426433633,negligible,0.8318,1,not_recommended,agreement recall 0.771 below floor 0.9
goodbooks,u2i,flatpq,bm25,svd_bm25,0.01410556427499,0.1619,0.7149810000000001,0.1151049999066344,12121.212110056991,66.76953125,0.0357406177457097,-0.001208527678982,negligible,0.7732,2,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false)
goodbooks,u2i,ivfpq,bm25,svd_bm25,0.0146106668558909,0.1657,0.789818,0.2791050000496398,5405.40540576575,70.03515625,0.0510106177457097,-0.0007034250980811,negligible,0.6433,3,not_recommended,agreement recall 0.790 below floor 0.9
goodbooks,u2i,hnsw,bm25,svd_bm25,0.0152307586206387,0.1744,0.943327,0.0772099999664987,22573.363424420662,75.4140625,0.0221206177457097,-8.333333333333456e-05,negligible,0.6329,4,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
goodbooks,u2i,flat,bm25,svd_bm25,0.0153140919539721,0.1795,1.0,0.23246500006735,6872.852232233833,71.02734375,0.0223706177457097,0.0,exact_reference,0.553,5,exact_reference,exact search; ground-truth quality reference
ml-1m,i2i,flatpq,bm25,svd_bm25,0.0567883164918795,0.3867815139970184,0.8614908066920657,0.0590999999900532,19880.715706532097,63.68359375,0.0142925656898298,-0.0013988093421388,negligible,0.9695,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false)
ml-1m,i2i,ivfflat,bm25,svd_bm25,0.0581945932021231,0.4010270001656452,0.9905814146099056,0.0569050000052584,29761.90476655604,64.7421875,0.0111453071176913,7.467368104745187e-06,negligible,0.8569,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
ml-1m,i2i,flat,bm25,svd_bm25,0.0581871258340183,0.4013582905416598,1.0,0.0914999999963583,16611.295679084364,64.76953125,0.0112115651928942,0.0,exact_reference,0.7237,3,exact_reference,exact search; ground-truth quality reference
ml-1m,i2i,hnsw,bm25,svd_bm25,0.0581871258340183,0.400364419413616,0.9899370548285574,0.0736000000074454,18639.328989743888,67.3671875,0.0112115651928942,0.0,negligible,0.6792,4,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
ml-1m,i2i,ivfpq,bm25,svd_bm25,0.0576410297244641,0.3915852244492298,0.8897366241510685,0.1651450000025533,9940.357853266049,65.421875,0.015071098073464,-0.0005460961095542,negligible,0.6292,5,not_recommended,agreement recall 0.890 below floor 0.9
ml-1m,u2i,flatpq,bm25,svd_bm25,0.0463009813162997,0.3730329633924134,0.7598035614661054,0.0590999999900532,19880.715706532097,63.68359375,-0.0043425179609901,-0.0025949240488457,negligible,0.9893,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false)
ml-1m,u2i,ivfflat,bm25,svd_bm25,0.0489047706084618,0.3942355474573463,0.9880487425455112,0.0569050000052584,29761.90476655604,64.7421875,-0.0047566309310083,8.865243316426297e-06,negligible,0.8569,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
ml-1m,u2i,flat,bm25,svd_bm25,0.0488959053651454,0.3977140964054994,1.0,0.0914999999963583,16611.295679084364,64.76953125,-0.0047566309310083,0.0,exact_reference,0.722,3,exact_reference,exact search; ground-truth quality reference
ml-1m,u2i,hnsw,bm25,svd_bm25,0.0488959053651454,0.3950637733973828,0.9655500435868302,0.0736000000074454,18639.328989743888,67.3671875,-0.0047566309310083,0.0,negligible,0.6776,4,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
ml-1m,u2i,ivfpq,bm25,svd_bm25,0.0487624464087324,0.3857876428689746,0.8019329121736753,0.1651450000025533,9940.357853266049,65.421875,-0.0045081631489973,-0.0001334589564129,negligible,0.5892,5,not_recommended,agreement recall 0.802 below floor 0.9
ml-20m,i2i,flatpq,bm25,svd_bm25,0.0505095099479644,0.2682,0.8463860000000001,0.241679999982125,5906.6745448498095,73.3828125,0.0033946768941484,-0.0011788776008422,negligible,0.8497,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false)
ml-20m,i2i,ivfflat,bm25,svd_bm25,0.0517086740307261,0.2722,0.951384,0.0932149999840703,16835.016835634033,83.9765625,0.0022746768941484,2.0286481919436217e-05,negligible,0.8065,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
ml-20m,i2i,hnsw,bm25,svd_bm25,0.0517172940314385,0.2748,0.984746,0.127399999996669,12345.679013192104,90.38671875,0.0023146768941484,2.8906482631797792e-05,negligible,0.7043,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
ml-20m,i2i,ivfpq,bm25,svd_bm25,0.0510333629916462,0.279,0.885591,0.5144749999658415,3050.6406341944567,78.6875,0.0031846768941484,-0.0006550245571605,negligible,0.665,4,not_recommended,agreement recall 0.886 below floor 0.9
ml-20m,i2i,flat,bm25,svd_bm25,0.0516883875488067,0.2738,1.0,0.6244400000269933,3053.4351145283235,83.72265625,0.0022946768941484,0.0,exact_reference,0.5106,5,exact_reference,exact search; ground-truth quality reference
ml-20m,u2i,flatpq,bm25,svd_bm25,0.0412473886110738,0.3364,0.6594140000000001,0.241679999982125,5906.6745448498095,73.3828125,-0.0005253231058515,-0.0033803247476705,negligible,0.8247,1,offline_batch_only,Flat-PQ scans all compressed codes; policy restricts it to offline/batch candidate generation (allow_flatpq_online=false)
ml-20m,u2i,ivfflat,bm25,svd_bm25,0.0445437400989292,0.3542,0.912297,0.0932149999840703,16835.016835634033,83.9765625,-0.0005853231058515,-8.397325981514964e-05,negligible,0.8065,2,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
ml-20m,u2i,hnsw,bm25,svd_bm25,0.0446259265130896,0.3645,0.953247,0.127399999996669,12345.679013192104,90.38671875,-0.0005753231058515,-1.7868456547581737e-06,negligible,0.7132,3,online_serving_recommended,quality retention negligible/small at calibrated operating point within latency and memory budgets
ml-20m,u2i,ivfpq,bm25,svd_bm25,0.0445092661993945,0.3571,0.735633,0.5144749999658415,3050.6406341944567,78.6875,-0.0005053231058515,-0.0001184471593499,negligible,0.6838,4,not_recommended,agreement recall 0.736 below floor 0.9
ml-20m,u2i,flat,bm25,svd_bm25,0.0446277133587444,0.3636,1.0,0.6244400000269933,3053.4351145283235,83.72265625,-0.0005753231058515,0.0,exact_reference,0.5213,5,exact_reference,exact search; ground-truth quality reference
